project_title,project_number,project_year,sponsoring_forum,proposing_economy,project_status,fund_account,sub_fund,project_session,apec_funding,co_funding_amount,total_project_value,project_cost_usd,topics,committee,other_fora_involved,co_sponsoring_economies,organization_1,organization_2,link
Seminar on Successful Cases of Renewable and Clean Energy (RCE) Investment in APEC,CTI 34 2011T,2011,Investment Experts Group (IEG),China,Completed Project,TILF Special Account,None,Session 3,"148,900","41,000","189,900",,Investment,Committee on Trade and Investment (CTI),Not Applicable / Other,Chile; Malaysia; Mexico; United States,Ministry of Commerce of China,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11613
Study Programme on APEC Environmental Services-Related Technology Market,CTI 35 2011T,2011,Group on Services (GOS),China,Completed Project,TILF Special Account,None,Session 3,"175,600","43,000","218,600",,Services Trade,Committee on Trade and Investment (CTI),Not Applicable / Other,Chile; Thailand,"Division for Asia, Department of International Cooperation, Ministry of Environmental Protection, China",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11611
APEC Open Innovation Platform Initiative,CTI 29 2011T,2011,Committee on Trade and Investment (CTI),Japan,Completed Project,TILF Special Account,None,Session 3,"180,968","125,000","305,968",,Investment; Liberalisation; Trade Facilitation,Committee on Trade and Investment (CTI),Not Applicable / Other,China; Malaysia; Russia; Chinese Taipei; United States,"Ministry of Economy, Trade and Industry","Ministry of Economy, Trade and Industry",https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11609
Increase of FTA Utilization Workshop,CTI 26 2011T,2011,Committee on Trade and Investment (CTI),Japan,Completed Project,TILF Special Account,None,Session 3,"90,000",0,"90,000",,Investment; Liberalisation; Trade Facilitation,Committee on Trade and Investment (CTI),Not Applicable / Other,Peru; United States,"Ministry of Economy, Trade and Industry","Ministry of Economy, Trade and Industry",https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11608
Prospects and Directions of Developing Treasury Systems for APEC Economies,FMP 03 2011,2011,Finance Ministers Process (FMP),Russia,Completed Project,Operational Account,None,Session 3,"99,978","80,000","179,978",,Finance,Senior Finance Officials Meeting (SFOM),Not Applicable / Other,China; Indonesia; Singapore; Viet Nam,The Federal Treasury (Treasury of Russia) together with the Ministry of Finance of the Russian Federation,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11426
Frameworks and Models for Regulatory Coherence,SOM 01 2011A,2011,Senior Officials Meeting (SOM),New Zealand,Completed Project,APEC Support Fund,ASF: General Fund,Session 3,"128,770","45,665","174,435",,Trade Facilitation,Senior Officials Meeting (SOM),Not Applicable / Other,Australia; Korea; Mexico; Russia,The Treasury,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11208
Enhancing Regulatory Impact Analysis within APEC,EC 02 2011A,2011,Economic Committee (EC),Australia,Completed Project,APEC Support Fund,ASF: General Fund,Session 3,"101,463","17,065","118,528",,Structural Reform,Economic Committee (EC),Not Applicable / Other,Mexico; New Zealand; Russia,Department of Foreign Affairs and Trade,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11169
Connecting APEC - A Conference on Enhancing Tourism and Air Transport Connectivity in the Asia-Pacific Region,TWG 02 2011A,2011,Tourism Working Group (TWG),Philippines,Completed Project,APEC Support Fund,ASF: General Fund,Session 2,"91,000","1,000","92,000",,Tourism,SOM Steering Committee on Economic and Technical Cooperation (SCE),Not Applicable / Other,Indonesia; Malaysia; Peru; Viet Nam; United States,Department of Tourism,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11166
"Sustainable Intermodal Transportation Network Using Short Sea Shipping: 2nd Phase of Short Sea Shipping Study that Can Improve Intermodal Efficiency and Reduce Pollution, Congestion, Fuel Costs and Green House Gas Emissions",TPT 02 2011,2011,Transportation Working Group (TPTWG),Korea,Completed Project,Operational Account,None,Session 2,"75,000","125,000","200,000",,Transportation,SOM Steering Committee on Economic and Technical Cooperation (SCE),Not Applicable / Other,Canada; Japan; Chinese Taipei; United States,"National Center for Intermodal Transportation, University of Denver",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11412
APEC Training Course on Common Principles to Shipping Policy,TPT 03 2011T,2011,Transportation Working Group (TPTWG),Japan,Completed Project,TILF Special Account,None,Session 2,"133,840","45,025","178,865",,Transportation,SOM Steering Committee on Economic and Technical Cooperation (SCE),Not Applicable / Other,Canada; Philippines; Thailand; Viet Nam,"Ministry of Land, Infrastructure, Transport and Tourism (MLIT)",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11607
ICT Applications for People with Special Needs (Ageing and Handicapped),TEL 01 2011A,2011,Telecommunications and Information Working Group (TELWG),Japan; Singapore,Completed Project,APEC Support Fund,ASF: General Fund,Session 2,"90,000","20,000","110,000",,Telecommunications,SOM Steering Committee on Economic and Technical Cooperation (SCE),Not Applicable / Other,Australia; Canada; China; Indonesia; Korea; Peru; Philippines; Russia; Chinese Taipei; Thailand; United States; Viet Nam,Waseda University of Japan,IDA of Singapore,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11164
Seminar on Developing Business Value Proposition through Innovation for Young Entrepreneurs,SME 07 2011A,2011,Small and Medium Enterprises Working Group (SMEWG),Malaysia,Completed Project,APEC Support Fund,ASF: General Fund,Session 2,"106,983","81,017","188,000",,"Micro, Small and Medium Enterprises",SOM Steering Committee on Economic and Technical Cooperation (SCE),Not Applicable / Other,Brunei Darussalam; Japan; Korea; Philippines; Singapore; Chinese Taipei; United States,"Ministry of International Trade and Industry, Malaysia",SME Corporation Malaysia,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11165
"2012 Independent Assessment of ECOTECH Implementation by ACT, ATC, HLPDAB, GFPN/PPWE and TELWG",SCE 01 2011,2011,SOM Steering Committee on Economic and Technical Cooperation (SCE),Other -- APEC Secretariat,Completed Project,Operational Account,None,Session 2,"114,353",0,"114,353",,Economic and Technical Cooperation,SOM Steering Committee on Economic and Technical Cooperation (SCE),Not Applicable / Other,"Australia; Brunei Darussalam; Canada; Chile; China; Hong Kong, China; Indonesia; Japan; Korea; Malaysia; Mexico; New Zealand; Papua New Guinea; Peru; Philippines; Russia; Singapore; Chinese Taipei; Thailand; United States; Viet Nam",APEC Secretariat,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11423
Climate Change Adaptation in the Asia-Pacific,IST 03 2011A,2011,Industrial Science and Technology Working Group (ISTWG),Japan; United States,Completed Project,APEC Support Fund,ASF: General Fund,Session 2,"44,854","100,980","145,834",,Science and Technology,SOM Steering Committee on Economic and Technical Cooperation (SCE),Not Applicable / Other,Australia; Canada; Indonesia; Malaysia; Papua New Guinea; Philippines; Chinese Taipei; Viet Nam,U.S. Department of State,APEC Technical Assistance and Training Facility,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11163
"Harnessing and Using Climate Information for Decision-Making in Agriculture, Water Resource Management and Energy Efficiency",IST 02 2011A,2011,Industrial Science and Technology Working Group (ISTWG),Korea,Completed Project,APEC Support Fund,ASF: General Fund,Session 2,"116,000","144,000","260,000",,Science and Technology,SOM Steering Committee on Economic and Technical Cooperation (SCE),Not Applicable / Other,"Australia; Canada; Hong Kong, China; Indonesia; Malaysia; Peru; Philippines; Russia; Chinese Taipei",APEC Climate Center,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11162
APEC Co-Incubation Network,IST 04 2011,2011,Industrial Science and Technology Working Group (ISTWG),China,Completed Project,Operational Account,None,Session 2,"96,970","63,970","160,940",,Science and Technology,SOM Steering Committee on Economic and Technical Cooperation (SCE),Not Applicable / Other,Thailand; Russia,"Xi'an International Business Incubator (XIBI), Xi'an APEC Management & Training Center for Business Incubation",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11417
Human Capital Policies for Green Growth and Employment,HRD 02 2011A,2011,Human Resource Development Working Group (HRDWG),United States,Completed Project,APEC Support Fund,ASF: Energy Efficiency,Session 2,"149,681","50,319","200,000",,Human Resources Development,SOM Steering Committee on Economic and Technical Cooperation (SCE),Not Applicable / Other,Australia; Chile; China; Japan; Indonesia; Peru; Chinese Taipei; Thailand,US Department of Education,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11161
Workshop on Low Emission Development Strategies (LEDS) for APEC Economies with a Focus on Energy and Transport,EWG 13 2011A,2011,Energy Working Group (EWG),United States,Completed Project,APEC Support Fund,ASF: Energy Efficiency,Session 2,"66,644","61,000","127,644",,Energy,SOM Steering Committee on Economic and Technical Cooperation (SCE),Not Applicable / Other,China; Japan; New Zealand,U.S. Department of State APEC TATF,S. Department of State APEC TATF,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11157
APEC 21st Century Renewable Energy Development Initiative (Collaborative IX): Stock-take of Electric Vehicle Interface with Electricity and Smart Grids across APEC Economies and the Potential for Harmonisation,EWG 11 2011,2011,Energy Working Group (EWG),New Zealand,Completed Project,Operational Account,None,Session 2,"57,000","62,600","119,600",,Energy,SOM Steering Committee on Economic and Technical Cooperation (SCE),Not Applicable / Other,Canada; Chile; Indonesia; Japan; Korea; Mexico; Chinese Taipei; Viet Nam; United States,Energy Efficiency and Conservation Authority (EECA),Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11416
A Training Course on Quantitative Precipitation Estimation/Forecasting (QPE/QPF),EPWG 04 2011A,2011,Emergency Preparedness Working Group (EPWG),Philippines,Completed Project,APEC Support Fund,ASF: General Fund,Session 2,"113,000","32,000","145,000",,Emergency Preparedness,SOM Steering Committee on Economic and Technical Cooperation (SCE),Not Applicable / Other,Australia; Indonesia; Chinese Taipei,"Philippine Atmospheric, Geophysical and Astronomical Services Administration (PAGASA), Department of Science and Technology (DOST)",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11156
Study Course on Wildfires Management in APEC Region,EPWG 03 2011A,2011,Emergency Preparedness Working Group (EPWG),Russia,Completed Project,APEC Support Fund,ASF: Human Security,Session 2,"151,905","40,895","192,800",,Emergency Preparedness,SOM Steering Committee on Economic and Technical Cooperation (SCE),Not Applicable / Other,Australia; Chinese Taipei; United States; Mexico,"Ministry of the Russian Federation on Civil Defence, Emergencies and Elimination of Consequences of Natural Disasters (EMERCOM of Russia)",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11177
Innovative Approaches in the Implementation of APEC Food Security Action Plan in Developing Economies,ATC 05 2011A,2011,Agricultural Technical Cooperation Working Group (ATCWG),Malaysia,Completed Project,APEC Support Fund,ASF: General Fund,Session 2,"98,902","7,500","106,402",,Agriculture,SOM Steering Committee on Economic and Technical Cooperation (SCE),Not Applicable / Other,Indonesia; Philippines; Viet Nam,Dept. of Agriculture,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11150
Seminar-Workshop on the Assessment of Good Animal Husbandry Practices in APEC Member Economies,ATC 06 2011T,2011,Agricultural Technical Cooperation Working Group (ATCWG),Philippines,Completed Project,TILF Special Account,None,Session 2,"60,388","23,633","84,021",,Agriculture,SOM Steering Committee on Economic and Technical Cooperation (SCE),Not Applicable / Other,Indonesia; Malaysia; Peru,"Bureau of Agriculture and Fisheries Product Standards, Department of Agriculture",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11594
Climate Change Symposium,ATC 04 2011A,2011,Agricultural Technical Cooperation Working Group (ATCWG),Philippines,Completed Project,APEC Support Fund,ASF: General Fund,Session 2,"135,010","15,000","150,010",,Agriculture,SOM Steering Committee on Economic and Technical Cooperation (SCE),Not Applicable / Other,Chinese Taipei; Thailand,"APEC Desk, Policy and Planning Office, Department of Agriculture",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11149
Workshop to Assess and Improve Agricultural Data Collection and Dissemination by APEC Member Economies,ATC 03 2011A,2011,Agricultural Technical Cooperation Working Group (ATCWG),United States,Completed Project,APEC Support Fund,ASF: General Fund,Session 2,"51,413","88,197","139,610",,Agriculture,SOM Steering Committee on Economic and Technical Cooperation (SCE),Not Applicable / Other,Australia; Japan,United States Department of Agriculture Foreign Agricultural Service,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11148
Implementation of the APEC Code of Conduct for Business (Integrity and Transparency Principles of the Private Sector),ACT 02 2011A,2011,Anti-Corruption and Transparency Experts Working Group (ACTWG),Philippines,Completed Project,APEC Support Fund,ASF: General Fund,Session 2,"95,000","25,000","120,000",,Anti-Corruption; Transparency,SOM Steering Committee on Economic and Technical Cooperation (SCE),Not Applicable / Other,Australia; Brunei Darussalam; Chile; Thailand; Viet Nam,Office of the Ombudsman,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=11152
